,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
8600,None,294.14,0.0,0.0,12,Clouds,few clouds,8/23/2013 1:00,499,very low
7143,None,293.41,0.0,0.0,92,Thunderstorm,proximity thunderstorm,6/22/2013 23:00,1264,very low
930,None,274.41,0.0,0.0,98,Clear,sky is clear,11/6/2012 6:00,5330,high
16854,None,301.62,0.0,0.0,1,Clear,sky is clear,7/25/2015 13:00,3252,low
22969,None,283.23,0.0,0.0,1,Clear,sky is clear,5/1/2016 23:00,1025,very low
632,None,281.05,0.0,0.0,90,Rain,moderate rain,10/26/2012 0:00,665,very low
2436,None,258.94,0.0,0.0,75,Clouds,broken clouds,12/28/2012 3:00,394,very low
14023,None,287.21,0.0,0.0,1,Clear,sky is clear,5/4/2014 16:00,4510,high
27079,None,290.12,0.0,0.0,8,Clear,sky is clear,10/3/2016 22:00,1405,very low
42027,None,275.35,0.0,0.0,90,Thunderstorm,thunderstorm with light drizzle,3/4/2018 6:00,733,very low
17963,None,299.95,0.0,0.0,1,Haze,haze,9/4/2015 11:00,5453,high
35556,None,299.94,0.0,0.0,75,Clouds,broken clouds,7/21/2017 16:00,5937,very high
2965,None,261.26,0.0,0.0,1,Clear,sky is clear,1/16/2013 4:00,792,very low
16909,None,301.8,0.0,0.0,40,Clouds,scattered clouds,7/27/2015 18:00,4226,low
16602,None,293.12,0.27,0.0,90,Mist,mist,7/16/2015 14:00,5306,high
44551,None,291.44,0.0,0.0,1,Haze,haze,5/31/2018 3:00,343,very low
37953,None,284.02,0.0,0.0,75,Clouds,broken clouds,10/11/2017 22:00,2341,very low
11042,None,276.63,0.25,0.0,64,Rain,light rain,12/28/2013 12:00,3896,low
38171,None,286.88,0.0,0.0,1,Clear,sky is clear,10/20/2017 1:00,427,very low
29904,None,267.72,0.0,0.0,90,Snow,light snow,1/9/2017 18:00,3512,low
35408,None,304.85,0.0,0.0,20,Clouds,few clouds,7/17/2017 15:00,5442,high
35861,None,294.22,0.0,0.0,1,Mist,mist,8/2/2017 0:00,708,very low
38576,None,274.82,0.0,0.0,75,Mist,mist,11/2/2017 4:00,820,very low
21737,None,286.82,0.0,0.0,1,Clear,sky is clear,3/12/2016 20:00,3373,low
46747,None,291.55,0.0,0.0,1,Mist,mist,8/16/2018 7:00,6494,very high
34542,None,296.41,0.0,0.0,40,Clouds,scattered clouds,6/14/2017 22:00,2563,very low
22956,None,282.67,0.0,0.0,75,Clouds,broken clouds,5/1/2016 10:00,3601,low
20126,None,273.4,0.0,0.0,90,Clouds,overcast clouds,12/21/2015 12:00,5102,high
446,None,280.91,0.0,0.0,96,Rain,light rain,10/20/2012 4:00,401,very low
40903,None,265.48,0.0,0.0,40,Clouds,scattered clouds,1/23/2018 10:00,3237,low
675,None,275.38,0.0,0.0,90,Mist,mist,10/26/2012 14:00,5879,very high
5365,None,271.85,0.0,0.0,1,Clear,sky is clear,4/21/2013 10:00,3263,low
3155,None,255.77,0.0,0.0,1,Clear,sky is clear,1/24/2013 19:00,3156,low
36534,None,284.58,0.0,0.0,5,Clear,sky is clear,8/23/2017 7:00,6452,very high
37021,None,291.61,0.0,0.0,5,Clear,sky is clear,9/9/2017 12:00,4596,high
44884,None,294.55,0.0,0.0,90,Rain,moderate rain,6/11/2018 17:00,5922,very high
37896,None,284.95,0.0,0.0,75,Clouds,broken clouds,10/9/2017 14:00,5112,high
1344,None,273.99,0.0,0.0,1,Mist,mist,11/21/2012 5:00,2489,very low
17331,None,296.1,0.0,0.0,1,Rain,light rain,8/13/2015 2:00,322,very low
32406,None,284.96,0.0,0.0,90,Clouds,overcast clouds,4/5/2017 18:00,4606,high
27664,None,284.454,0.0,0.0,80,Clouds,broken clouds,10/29/2016 0:00,1151,very low
3698,None,259.55,0.0,0.0,20,Clouds,few clouds,2/18/2013 1:00,379,very low
41776,None,261.15,0.0,0.0,1,Mist,mist,2/24/2018 1:00,712,very low
19389,None,284.22,0.0,0.0,1,Clear,sky is clear,11/9/2015 11:00,4510,high
17732,None,281.98,0.0,0.0,1,Mist,mist,8/26/2015 6:00,6005,very high
21355,None,271.15,0.0,0.0,90,Clouds,overcast clouds,2/17/2016 15:00,5826,very high
14828,None,291.47,0.25,0.0,48,Mist,mist,6/2/2014 1:00,368,very low
40865,None,272.36,0.0,0.0,90,Snow,snow,1/22/2018 12:00,3143,low
47742,None,295.82,0.0,0.0,1,Clear,sky is clear,9/17/2018 2:00,260,very low
16438,None,294.42,0.0,0.0,1,Clear,sky is clear,7/10/2015 9:00,4598,high
28837,None,270.14,0.0,0.0,1,Mist,mist,12/5/2016 5:00,2663,very low
12701,None,268.72,0.0,0.0,1,Clear,sky is clear,3/5/2014 16:00,6350,very high
19872,None,280.15,0.0,0.0,75,Clouds,broken clouds,12/7/2015 14:00,5073,high
23853,None,289.63,0.0,0.0,90,Clouds,overcast clouds,6/1/2016 12:00,5094,high
24756,None,298.45,0.0,0.0,40,Clouds,scattered clouds,7/7/2016 12:00,4458,high
46342,None,296.61,0.0,0.0,75,Thunderstorm,proximity thunderstorm,8/1/2018 15:00,5655,high
8090,None,291.21,0.0,0.0,64,Mist,mist,7/31/2013 23:00,1372,very low
44020,None,279.58,0.0,0.0,90,Clouds,overcast clouds,5/12/2018 7:00,2113,very low
33197,None,279.08,0.0,0.0,90,Rain,light rain,4/30/2017 11:00,3947,low
10076,None,260.15,0.0,0.0,1,Clear,sky is clear,11/23/2013 9:00,3685,low
11722,None,272.1,0.0,0.0,64,Clouds,broken clouds,1/24/2014 13:00,5192,high
16395,None,294.75,0.0,0.0,40,Clouds,scattered clouds,7/8/2015 14:00,5160,high
16344,None,294.16,5.59,0.0,1,Haze,haze,7/6/2015 16:00,6006,very high
10425,None,268.01,0.0,0.0,64,Clouds,broken clouds,12/4/2013 21:00,1725,very low
46302,None,288.94,0.0,0.0,1,Clear,sky is clear,7/31/2018 3:00,352,very low
6559,None,294.23,0.0,0.0,90,Clouds,overcast clouds,5/31/2013 9:00,5412,high
28481,None,272.08,0.0,0.0,1,Mist,mist,11/26/2016 5:00,497,very low
9235,None,286.77,2.03,0.0,92,Rain,moderate rain,10/3/2013 12:00,5339,high
27729,None,287.007,0.0,0.0,92,Rain,light rain,10/31/2016 17:00,5327,high
30401,None,274.75,0.0,0.0,90,Mist,mist,1/22/2017 23:00,947,very low
19235,None,279.87,0.0,0.0,90,Clouds,overcast clouds,10/29/2015 23:00,1242,very low
3248,None,268.66,0.0,0.0,75,Clouds,broken clouds,1/31/2013 5:00,2533,very low
32298,None,284.82,0.0,0.0,90,Rain,light rain,4/2/2017 16:00,4478,high
26781,None,293.996,0.0,0.0,100,Rain,light rain,9/21/2016 13:00,4499,high
29753,None,253.22,0.0,0.0,1,Clear,sky is clear,1/4/2017 6:00,5511,high
46593,None,294.92,0.0,0.0,5,Clear,sky is clear,8/10/2018 9:00,4584,high
27262,None,295.908,0.0,0.0,24,Clouds,few clouds,10/11/2016 15:00,4802,high
470,None,282.71,0.0,0.0,100,Rain,heavy intensity rain,10/20/2012 12:00,4613,high
46932,None,296.94,0.0,0.0,5,Clear,sky is clear,8/22/2018 20:00,3154,low
8842,None,293.73,0.56,0.0,48,Rain,light rain,9/9/2013 8:00,6292,very high
31651,None,260.49,0.0,0.0,1,Clear,sky is clear,3/11/2017 4:00,430,very low
26202,None,285.47,0.0,0.0,1,Mist,mist,8/31/2016 5:00,2841,very low
5052,None,274.07,0.0,0.0,90,Mist,mist,4/12/2013 18:00,4956,high
37978,None,286.81,0.0,0.0,5,Clear,sky is clear,10/12/2017 21:00,3064,low
10717,None,257.14,0.0,0.0,90,Clouds,overcast clouds,12/16/2013 5:00,2726,very low
14465,None,284.36,1.04,0.0,92,Rain,moderate rain,5/19/2014 18:00,4123,low
2444,None,263.55,0.0,0.0,75,Clouds,broken clouds,12/28/2012 11:00,4471,high
25170,None,297.1,11.23,0.0,75,Mist,mist,7/23/2016 11:00,24,very low
1072,None,279.87,0.0,0.0,90,Rain,light rain,11/11/2012 1:00,922,very low
13354,None,271.51,0.0,0.0,75,Clouds,broken clouds,4/1/2014 22:00,1618,very low
19209,None,274.55,0.0,0.0,90,Mist,mist,10/28/2015 21:00,2398,very low
28882,None,266.42,0.0,0.0,90,Snow,light snow,12/6/2016 21:00,2304,very low
42973,None,269.65,0.0,0.0,1,Snow,light snow,4/6/2018 2:00,312,very low
24708,None,292.84,1.78,0.0,90,Rain,moderate rain,7/5/2016 21:00,1752,very low
25349,None,290.45,0.0,0.0,75,Clouds,broken clouds,7/29/2016 23:00,3206,low
35010,None,294.89,0.0,0.0,40,Clouds,scattered clouds,7/1/2017 21:00,2876,very low
12183,None,262.5,0.0,0.0,90,Clouds,overcast clouds,2/12/2014 0:00,463,very low
12562,None,254.27,0.0,0.0,20,Clouds,few clouds,2/27/2014 16:00,6224,very high
32215,None,276.55,0.0,0.0,90,Rain,light rain,3/30/2017 9:00,5380,high
34319,None,284.88,0.0,0.0,1,Clear,sky is clear,6/7/2017 5:00,3008,low
7885,None,301.91,0.0,0.0,0,Clear,Sky is Clear,7/23/2013 15:00,6068,very high
26270,None,288.51,0.0,0.0,1,Clear,sky is clear,9/3/2016 1:00,884,very low
16291,None,298.85,0.0,0.0,1,Clear,sky is clear,7/5/2015 22:00,2278,very low
43146,None,275.56,0.0,0.0,1,Clear,sky is clear,4/12/2018 4:00,949,very low
26164,None,294.8,0.0,0.0,90,Rain,heavy intensity rain,8/29/2016 23:00,1001,very low
46623,None,299.14,0.0,0.0,1,Clear,sky is clear,8/11/2018 11:00,4198,low
12891,None,281.15,0.0,0.0,1,Clear,sky is clear,3/13/2014 15:00,5884,very high
17948,None,298.31,0.0,0.0,1,Clear,sky is clear,9/3/2015 20:00,3252,low
17733,None,281.98,0.0,0.0,1,Mist,mist,8/26/2015 7:00,6268,very high
2257,None,267.65,0.0,0.0,90,Snow,heavy snow,12/21/2012 3:00,386,very low
19612,None,264.23,0.0,0.0,1,Clear,sky is clear,11/21/2015 8:00,3231,low
38449,None,272.23,0.0,0.0,1,Clear,sky is clear,10/29/2017 3:00,434,very low
9132,None,296.76,0.0,0.0,0,Clear,Sky is Clear,9/26/2013 13:00,5160,high
16713,None,294.98,0.0,0.0,1,Clear,sky is clear,7/20/2015 4:00,909,very low
37652,None,292.51,0.0,0.0,90,Rain,moderate rain,10/2/2017 16:00,6667,very high
7616,None,287.18,0.0,0.0,0,Mist,mist,7/12/2013 6:00,5960,very high
6366,None,287.19,0.0,0.0,1,Clear,sky is clear,5/24/2013 13:00,5282,high
43235,None,271.09,0.0,0.0,90,Snow,snow,4/14/2018 9:00,1755,very low
29775,None,254.69,0.0,0.0,90,Haze,haze,1/5/2017 1:00,438,very low
7420,None,287.62,0.0,0.0,1,Clear,sky is clear,7/4/2013 6:00,1033,very low
32268,None,288.72,0.0,0.0,40,Clouds,scattered clouds,4/1/2017 13:00,4958,high
9257,None,285.58,0.0,0.0,92,Rain,light rain,10/4/2013 9:00,5158,high
24923,None,300.18,0.0,0.0,40,Clouds,scattered clouds,7/13/2016 18:00,4191,low
37759,None,287.68,0.0,0.0,90,Clouds,overcast clouds,10/5/2017 19:00,3724,low
22071,None,276.8,0.0,0.0,90,Drizzle,drizzle,3/27/2016 4:00,240,very low
9449,None,277.0,0.0,0.0,0,Clear,Sky is Clear,10/13/2013 4:00,351,very low
39485,None,278.16,0.0,0.0,90,Rain,moderate rain,12/4/2017 19:00,3092,low
43496,None,273.79,0.0,0.0,1,Clear,sky is clear,4/22/2018 4:00,368,very low
37603,None,288.55,0.0,0.0,75,Clouds,broken clouds,10/1/2017 1:00,894,very low
36934,None,284.85,0.0,0.0,40,Clouds,scattered clouds,9/6/2017 0:00,543,very low
13888,None,278.79,1.22,0.0,90,Rain,moderate rain,4/24/2014 5:00,2801,very low
3296,None,245.7,0.0,0.0,0,Clear,sky is clear,2/2/2013 7:00,1909,very low
17627,None,296.51,0.0,0.0,90,Clouds,overcast clouds,8/22/2015 11:00,4696,high
2519,None,262.87,0.0,0.0,90,Mist,mist,12/30/2012 11:00,3508,low
15912,None,294.48,0.0,0.0,1,Clear,sky is clear,8/5/2014 10:00,4808,high
30395,None,276.09,0.0,0.0,90,Mist,mist,1/22/2017 18:00,3481,low
25859,None,290.62,0.0,0.0,100,Rain,light rain,8/20/2016 1:00,772,very low
45007,None,295.08,0.0,0.0,90,Mist,mist,6/16/2018 9:00,3017,low
12084,None,257.26,0.0,0.0,1,Clear,sky is clear,2/7/2014 21:00,2928,low
30778,None,266.44,0.0,0.0,1,Clear,sky is clear,2/5/2017 6:00,985,very low
15961,None,300.99,0.0,0.0,1,Clear,sky is clear,8/7/2014 16:00,6731,very high
8862,None,299.59,0.25,0.0,92,Rain,light rain,9/9/2013 22:00,1618,very low
22382,None,284.07,0.0,0.0,40,Clouds,scattered clouds,4/10/2016 19:00,3509,low
12663,None,259.4,0.0,0.0,90,Clouds,overcast clouds,3/3/2014 21:00,2920,low
8137,None,299.37,0.0,0.0,0,Clear,Sky is Clear,8/2/2013 16:00,6342,very high
26279,None,291.52,0.0,0.0,40,Clouds,scattered clouds,9/3/2016 10:00,4091,low
31078,None,269.97900000000004,0.0,0.0,0,Clear,Sky is Clear,2/17/2017 5:00,2577,very low
35941,None,289.86,0.0,0.0,20,Clouds,few clouds,8/4/2017 10:00,4517,high
27088,None,287.59,0.0,0.0,64,Clouds,broken clouds,10/4/2016 7:00,6199,very high
45953,None,299.94,0.0,0.0,1,Clear,sky is clear,7/18/2018 18:00,4941,high
17560,None,289.57,0.3,0.0,90,Rain,moderate rain,8/19/2015 17:00,6216,very high
30586,None,270.43,0.0,0.0,40,Clouds,scattered clouds,1/29/2017 14:00,4740,high
17305,None,290.0,0.0,0.0,1,Clear,sky is clear,8/12/2015 0:00,617,very low
20999,None,269.87,0.0,0.0,90,Mist,mist,2/2/2016 22:00,707,very low
17391,None,295.55,0.0,0.0,5,Clear,sky is clear,8/15/2015 8:00,2767,very low
36658,None,291.65,0.0,0.0,90,Mist,mist,8/26/2017 20:00,3150,low
16666,None,292.87,0.0,0.0,40,Rain,light rain,7/18/2015 6:00,1377,very low
38538,None,272.55,0.0,0.0,90,Clouds,overcast clouds,11/1/2017 8:00,6147,very high
32953,None,292.96,0.0,0.0,5,Clear,sky is clear,4/22/2017 16:00,4436,high
24489,None,291.66,0.0,0.0,1,Clear,sky is clear,6/27/2016 4:00,821,very low
30886,None,256.82,0.0,0.0,1,Clear,sky is clear,2/9/2017 5:00,2731,very low
41728,None,271.33,0.0,0.0,90,Snow,light snow,2/22/2018 18:00,4514,high
42089,None,271.65,0.0,0.0,90,Snow,heavy snow,3/5/2018 19:00,1117,very low
18400,None,285.83,1.27,0.0,90,Rain,heavy intensity rain,9/18/2015 23:00,1632,very low
7948,None,293.54,0.0,0.0,0,Clear,Sky is Clear,7/26/2013 9:00,5174,high
37577,None,281.43,0.0,0.0,1,Clear,sky is clear,9/30/2017 0:00,1265,very low
3861,None,271.47,0.0,0.0,75,Clouds,broken clouds,2/24/2013 15:00,4073,low
35899,None,288.14,0.0,0.0,90,Rain,heavy intensity rain,8/3/2017 8:00,5423,high
9827,None,279.13,0.0,0.0,64,Clouds,broken clouds,11/13/2013 12:00,5045,high
19989,None,275.72,0.0,0.0,90,Snow,snow,12/14/2015 7:00,5478,high
39729,None,271.61,0.0,0.0,1,Clear,sky is clear,12/13/2017 5:00,3108,low
15924,None,292.45,0.0,0.0,1,Clear,sky is clear,8/5/2014 22:00,2027,very low
45084,None,292.88,0.0,0.0,90,Mist,mist,6/18/2018 9:00,4767,high
7599,None,297.61,0.0,0.0,0,Clear,Sky is Clear,7/11/2013 13:00,5423,high
28509,None,271.88,0.0,0.0,1,Fog,fog,11/27/2016 0:00,969,very low
2247,None,270.52,0.0,0.0,90,Snow,heavy snow,12/20/2012 21:00,2458,very low
3836,None,269.23,0.0,0.0,90,Snow,heavy snow,2/23/2013 19:00,3394,low
43147,None,274.94,0.0,0.0,1,Clear,sky is clear,4/12/2018 5:00,2857,very low
23784,None,287.03,0.0,0.0,1,Mist,mist,5/30/2016 2:00,543,very low
37882,Columbus Day,284.62,0.0,0.0,1,Clear,sky is clear,10/9/2017 0:00,549,very low
19585,None,272.65,0.0,0.0,75,Snow,light snow,11/19/2015 8:00,5789,high
23266,None,285.18,0.0,0.0,90,Rain,moderate rain,5/11/2016 21:00,2499,very low
14000,None,279.69,1.21,0.0,90,Rain,moderate rain,4/28/2014 21:00,1941,very low
45451,None,300.82,0.0,0.0,90,Rain,light rain,6/30/2018 18:00,3871,low
36440,None,298.75,0.0,0.0,20,Clouds,few clouds,8/19/2017 19:00,4025,low
10248,None,272.51,0.0,0.0,64,Clouds,broken clouds,11/30/2013 21:00,2603,very low
41151,None,256.08,0.0,0.0,1,Clear,sky is clear,2/1/2018 12:00,4843,high
27497,None,278.209,0.0,0.0,12,Clouds,few clouds,10/22/2016 0:00,1295,very low
28660,None,275.15,0.0,0.0,90,Drizzle,drizzle,11/30/2016 2:00,274,very low
43392,None,275.58,0.0,0.0,1,Clear,sky is clear,4/17/2018 23:00,1297,very low
11004,None,262.76,0.0,0.0,64,Mist,mist,12/27/2013 3:00,333,very low
20512,None,272.56,0.0,0.0,90,Mist,mist,1/8/2016 17:00,5982,very high
22643,None,285.29,0.0,0.0,90,Rain,moderate rain,4/21/2016 8:00,6303,very high
31586,None,269.73,0.0,0.0,20,Clouds,few clouds,3/8/2017 11:00,4749,high
26632,None,295.4,0.0,0.0,90,Rain,heavy intensity rain,9/15/2016 15:00,5705,high
37310,None,293.87,0.0,0.0,1,Rain,light rain,9/20/2017 5:00,3117,low
45204,None,297.51,0.0,0.0,40,Clouds,scattered clouds,6/21/2018 16:00,6511,very high
33453,None,292.08,0.0,0.0,40,Haze,haze,5/8/2017 14:00,5048,high
32635,None,282.15,0.0,0.0,90,Haze,haze,4/13/2017 12:00,5138,high
9556,None,282.91,0.25,0.0,56,Rain,light rain,10/18/2013 17:00,5674,high
7991,None,284.13,0.0,0.0,48,Clouds,scattered clouds,7/28/2013 5:00,542,very low
37929,None,278.68,0.0,0.0,1,Clear,sky is clear,10/10/2017 22:00,2101,very low
42670,None,274.15,0.0,0.0,90,Mist,mist,3/27/2018 1:00,313,very low
21395,None,278.87,0.0,0.0,1,Clear,sky is clear,2/19/2016 21:00,3102,low
27053,None,288.12,0.0,0.0,0,Clear,Sky is Clear,10/2/2016 20:00,3221,low
1204,None,273.31,0.0,0.0,75,Clouds,broken clouds,11/15/2012 7:00,6761,very high
19260,None,280.37,0.0,0.0,90,Rain,moderate rain,10/31/2015 9:00,3356,low
2142,None,266.69,0.0,0.0,90,Clouds,overcast clouds,12/17/2012 22:00,1385,very low
23052,None,287.66,0.0,0.0,40,Clouds,scattered clouds,5/5/2016 10:00,4425,high
44201,None,296.35,0.0,0.0,1,Thunderstorm,thunderstorm with light rain,5/18/2018 22:00,2728,very low
12050,None,255.03,0.0,0.0,1,Clear,sky is clear,2/6/2014 11:00,4601,high
34635,None,291.75,0.0,0.0,75,Clouds,broken clouds,6/18/2017 11:00,4446,high
44296,None,295.29,0.0,0.0,75,Clouds,broken clouds,5/22/2018 15:00,5901,very high
38020,None,286.65,0.0,0.0,75,Rain,moderate rain,10/14/2017 15:00,5301,high
6717,None,285.48,0.3,0.0,90,Drizzle,drizzle,6/6/2013 4:00,812,very low
32929,None,289.4,0.0,0.0,40,Clouds,scattered clouds,4/21/2017 16:00,6493,very high
8537,None,293.41,0.0,0.0,92,Clouds,overcast clouds,8/20/2013 9:00,5438,high
17893,None,293.39,0.0,0.0,40,Mist,mist,9/2/2015 7:00,6477,very high
32705,None,286.88,0.0,0.0,90,Mist,mist,4/15/2017 4:00,367,very low
38586,None,275.65,0.0,0.0,90,Mist,mist,11/2/2017 9:00,5488,high
16991,None,293.1,0.0,0.0,1,Clear,sky is clear,7/31/2015 1:00,526,very low
42119,None,272.02,0.0,0.0,90,Snow,light snow,3/6/2018 11:00,3781,low
32068,None,277.01,0.0,0.0,90,Rain,light rain,3/26/2017 0:00,1303,very low
9730,None,279.3,0.0,0.0,90,Clouds,overcast clouds,11/9/2013 10:00,4276,low
24688,None,294.45,0.0,0.0,75,Rain,light rain,7/5/2016 8:00,4441,high
11175,None,249.15,0.0,0.0,1,Clear,sky is clear,1/2/2014 23:00,1072,very low
4577,None,275.41,0.0,0.0,75,Clouds,broken clouds,3/27/2013 13:00,4930,high
43448,None,271.49,0.0,0.0,1,Clear,sky is clear,4/20/2018 4:00,830,very low
1641,None,280.55,0.0,0.0,90,Haze,haze,12/2/2012 14:00,3696,low
19834,None,278.94,0.0,0.0,1,Clear,sky is clear,12/5/2015 12:00,5264,high
37947,None,285.86,0.0,0.0,90,Clouds,overcast clouds,10/11/2017 16:00,6785,very high
12257,None,255.38,0.0,0.0,40,Clouds,scattered clouds,2/15/2014 2:00,542,very low
30669,None,274.65,0.0,0.0,90,Rain,proximity shower rain,1/31/2017 18:00,4585,high
37893,None,285.29,0.0,0.0,90,Clouds,overcast clouds,10/9/2017 11:00,4377,high
28931,None,268.02,0.0,0.0,90,Snow,light snow,12/8/2016 16:00,6632,very high
23182,None,284.83,0.51,0.0,90,Drizzle,drizzle,5/10/2016 1:00,343,very low
25295,None,295.07,0.51,0.0,90,Thunderstorm,proximity thunderstorm,7/27/2016 17:00,5863,very high
7445,None,292.46,0.0,0.0,0,Clear,Sky is Clear,7/5/2013 8:00,3383,low
31838,None,272.68,0.0,0.0,90,Clouds,overcast clouds,3/18/2017 4:00,432,very low
41916,None,274.76,0.0,0.0,40,Clouds,scattered clouds,2/27/2018 21:00,3376,low
11800,None,249.9,0.0,0.0,20,Clouds,few clouds,1/27/2014 1:00,243,very low
24181,None,293.48,0.0,0.0,92,Rain,light rain,6/14/2016 11:00,4866,high
32854,None,280.68,0.0,0.0,90,Rain,moderate rain,4/19/2017 20:00,2826,very low
33922,None,280.09,0.0,0.0,90,Clouds,overcast clouds,5/22/2017 4:00,821,very low
35562,None,297.42,0.0,0.0,75,Rain,light rain,7/21/2017 22:00,3196,low
36972,None,288.6,0.0,0.0,90,Clouds,overcast clouds,9/7/2017 11:00,4862,high
26138,None,294.64,0.0,0.0,1,Clear,sky is clear,8/29/2016 3:00,322,very low
32974,None,288.89,0.0,0.0,1,Clear,sky is clear,4/23/2017 13:00,4792,high
25944,None,295.14,0.0,0.0,1,Clear,sky is clear,8/23/2016 9:00,4348,low
23039,None,286.07,0.0,0.0,40,Clouds,scattered clouds,5/4/2016 21:00,2655,very low
43911,None,291.54,0.0,0.0,75,Rain,moderate rain,5/8/2018 14:00,5196,high
39299,None,285.15,0.0,0.0,1,Clear,sky is clear,11/27/2017 21:00,2051,very low
32046,None,275.62,0.0,0.0,90,Clouds,overcast clouds,3/25/2017 8:00,2510,very low
32177,None,276.34,0.0,0.0,1,Clear,sky is clear,3/29/2017 4:00,850,very low
44690,None,295.3,0.0,0.0,1,Clear,sky is clear,6/4/2018 23:00,1115,very low
16525,None,302.37,0.0,0.0,1,Clear,sky is clear,7/13/2015 16:00,6073,very high
9519,None,283.22,0.0,0.0,92,Clouds,overcast clouds,10/17/2013 12:00,5271,high
26787,None,290.38,0.0,0.0,100,Rain,moderate rain,9/21/2016 18:00,4258,low
13103,None,262.85,0.0,0.0,20,Clouds,few clouds,3/22/2014 11:00,4310,low
44322,None,299.08,0.0,0.0,75,Clouds,broken clouds,5/23/2018 16:00,6897,very high
5012,None,275.12,0.0,0.0,90,Snow,heavy snow,4/12/2013 0:00,661,very low
9835,None,279.03,0.0,0.0,64,Clouds,broken clouds,11/13/2013 20:00,2846,very low
153,None,276.97,0.0,0.0,20,Clouds,few clouds,10/9/2012 4:00,798,very low
29930,None,269.69,0.0,0.0,90,Mist,mist,1/10/2017 12:00,3312,low
14652,None,291.57,0.0,0.0,75,Clouds,broken clouds,5/26/2014 7:00,1011,very low
21060,None,256.94,0.0,0.0,75,Haze,haze,2/5/2016 7:00,6390,very high
14202,None,291.09,0.25,0.0,76,Rain,light rain,5/10/2014 18:00,4003,low
44080,None,295.94,0.0,0.0,90,Drizzle,light intensity drizzle,5/14/2018 15:00,5598,high
44591,None,291.15,0.0,0.0,90,Mist,mist,6/1/2018 8:00,5639,high
28113,None,279.95,0.0,0.0,1,Clear,sky is clear,11/15/2016 20:00,2635,very low
26431,None,296.04,0.0,0.0,40,Clouds,scattered clouds,9/7/2016 16:00,6244,very high
41628,None,267.15,0.0,0.0,90,Snow,light snow,2/19/2018 12:00,3484,low
11007,None,266.98,0.0,0.0,64,Mist,mist,12/27/2013 6:00,4012,low
